Unnamed: 0,Date,Open,High,Low,Close*,Adj Close**,Volume
65,2023-08-18,214.12,217.58,212.36,215.49,215.49,135813700
66,2023-08-17,226.06,226.74,218.83,219.22,219.22,120718400
67,2023-08-16,228.02,233.97,225.38,225.6,225.6,112484500
68,2023-08-15,238.73,240.5,232.61,232.96,232.96,88197600
69,2023-08-14,235.7,240.66,233.75,239.76,239.76,98595300
70,2023-08-11,241.77,243.79,238.02,242.65,242.65,98866600
71,2023-08-10,245.4,251.8,243.0,245.34,245.34,109498600
72,2023-08-09,250.87,251.1,241.9,242.19,242.19,101596300
73,2023-08-08,247.45,250.92,245.01,249.7,249.7,96642200
74,2023-08-07,251.45,253.65,242.76,251.45,251.45,111097900
75,2023-08-04,260.97,264.77,253.11,253.86,253.86,99242600
76,2023-08-03,252.04,260.49,252.0,259.32,259.32,97569100
77,2023-08-02,255.57,259.52,250.49,254.11,254.11,101752900
78,2023-08-01,266.26,266.47,260.25,261.07,261.07,83166000
79,2023-07-31,267.48,269.08,263.78,267.43,267.43,84582200
80,2023-07-28,259.86,267.25,258.23,266.44,266.44,111446000
81,2023-07-27,268.31,269.13,255.3,255.71,255.71,103697300
82,2023-07-26,263.25,268.04,261.75,264.35,264.35,95856200
83,2023-07-25,272.38,272.9,265.0,265.28,265.28,112757300
84,2023-07-24,255.85,269.85,254.12,269.06,269.06,136508500
85,2023-07-21,268.0,268.0,255.8,260.02,260.02,161050100
86,2023-07-20,279.56,280.93,261.2,262.9,262.9,175158300
87,2023-07-19,296.04,299.29,289.52,291.26,291.26,142355400
88,2023-07-18,290.15,295.26,286.01,293.34,293.34,112434700
89,2023-07-17,286.63,292.23,283.57,290.38,290.38,131569600
90,2023-07-14,277.01,285.3,276.31,281.38,281.38,119771100
91,2023-07-13,274.59,279.45,270.6,277.9,277.9,112681500
92,2023-07-12,276.33,276.52,271.46,271.99,271.99,95672100
93,2023-07-11,268.65,270.9,266.37,269.79,269.79,91972400
94,2023-07-10,276.47,277.52,265.1,269.61,269.61,119425400
95,2023-07-07,278.43,280.78,273.77,274.43,274.43,113602000
96,2023-07-06,278.09,279.97,272.88,276.54,276.54,120332100
97,2023-07-05,278.82,283.85,277.6,282.48,282.48,131530900
98,2023-07-03,276.49,284.25,275.11,279.82,279.82,119685900
99,2023-06-30,260.6,264.45,259.89,261.77,261.77,112267600
