id,title,type,release_year,age_certification,runtime,genres,production_countries,imdb_score
ts57281,All Hail King Julien: Exiled,SHOW,2017,TV-Y7,23,"['animation', 'comedy', 'family', 'fantasy']",['US'],7.4
ts81036,The Who Was? Show,SHOW,2018,Not Availavle,24,"['family', 'comedy']",[],6.5
ts82875,Switched,SHOW,2018,TV-MA,39,"['drama', 'scifi']",['JP'],7.1
tm363878,Aiyaary,MOVIE,2018,Not Availavle,157,"['thriller', 'action', 'drama']",['IN'],5.2
ts80410,Kantaro: The Sweet Tooth Salaryman,SHOW,2017,Not Availavle,30,"['comedy', 'drama']",['JP'],7.6
ts55533,Legend Quest,SHOW,2017,TV-Y7,25,"['comedy', 'fantasy', 'animation']",['MX'],7.2
ts57116,Ask the Doctor,SHOW,2017,Not Availavle,28,['documentation'],['AU'],6.5
tm347850,SPF-18,MOVIE,2017,PG-13,75,"['romance', 'drama', 'sport']",['US'],3.2
ts85250,Kulipari: Dream Walker,SHOW,2018,TV-Y7,23,"['animation', 'action', 'fantasy']",['US'],7.6
tm411856,Hari Kondabolu: Warn Your Relatives,MOVIE,2018,Not Availavle,67,['comedy'],['US'],6.5
tm363003,Seeing Allred,MOVIE,2018,Not Availavle,96,['documentation'],['US'],7.2
tm348386,Resurface,MOVIE,2017,Not Availavle,27,"['documentation', 'sport', 'war']",['US'],7.1
ts112279,Empire Games,SHOW,2018,Not Availavle,49,"['documentation', 'history']",[],5.8
tm372054,The Tribe,MOVIE,2018,Not Availavle,90,"['comedy', 'family', 'european']",['ES'],5.8
tm440255,The Plagues of Breslau,MOVIE,2018,Not Availavle,93,"['thriller', 'action', 'crime', 'european']",['PL'],5.9
tm372061,Sudani from Nigeria,MOVIE,2018,PG,123,"['comedy', 'drama', 'sport']",['IN'],8.2
tm372917,Pope Francis: A Man of His Word,MOVIE,2018,PG,96,"['documentation', 'european']","['IT', 'CH', 'VA', 'FR', 'DE']",6.4
tm411503,Candy Jar,MOVIE,2018,PG-13,92,['comedy'],['US'],5.8
tm293867,Neal Brennan: 3 Mics,MOVIE,2017,Not Availavle,65,"['comedy', 'documentation']",['US'],7.9
ts84597,FIGHTWORLD,SHOW,2018,TV-MA,42,['documentation'],['US'],7.5
tm420800,"To Each, Her Own",MOVIE,2018,Not Availavle,95,"['comedy', 'drama', 'european']",['FR'],5.4
tm273600,Kuroko's Basketball the Movie: Last Game,MOVIE,2017,Not Availavle,90,"['animation', 'drama', 'sport']",['JP'],7.7
