Country Code,City,Location,Coordinates,Pollutant,Source Name,Unit,Value,Last Updated
NL,Oude Meer,Oude Meer-Aalsmeerderdijk,"52.28, 4.77077",PM10,Netherlands,µg/m³,22.6,2024-03-20T21:30:00+05:30
NL,Ridderkerk,Ridderkerk-Hogeweg,"51.8694, 4.58006",NO2,Netherlands,µg/m³,33.5,2024-03-20T21:30:00+05:30
NL,Posterholt,Posterholt-Vlodropperweg,"51.1192, 6.0424",NO,Netherlands,µg/m³,-995.0,2024-03-20T21:30:00+05:30
NL,Rotterdam,Rotterdam-Schiedamsevest,"51.9142, 4.47992",PM10,Netherlands,µg/m³,35.15,2024-03-20T21:30:00+05:30
NL,Rotterdam,Rotterdam-Schiedamsevest,"51.9142, 4.47992",PM2.5,Netherlands,µg/m³,8.7588,2024-03-20T21:30:00+05:30
IN,Kanpur,SPARTAN - IIT Kanpur,"26.5128, 80.2316",PM2.5,spartan-network,µg/m³,40.9,2019-11-25T18:30:00+05:30
IQ,Şırnak,Şırnak - Silopi,"37.24735540870426, 42.46390783498466",SO2,Turkiye,µg/m³,1244.129,2023-08-02T15:30:00+05:30
IS,Reykjavík,Portable Farstöð 1,"64.144092, -21.962781",NO2,Umhverfisstofnun,µg/m³,6.26416,2024-03-24T14:30:00+05:30
IS,Húsavík,PCC norður,"66.079276, -17.342173",SO2,Umhverfisstofnun,µg/m³,4.91286,2024-03-16T21:30:00+05:30
IS,Húsavík,PCC norður,"66.079276, -17.342173",NO2,Umhverfisstofnun,µg/m³,0.0,2024-03-15T13:30:00+05:30
IT,Roma,Francia,"41.947447, 12.469588",NOX,ARPALAZIO,µg/m³,74.0,2024-03-23T05:30:00+05:30
IT,Roma,Fiumicino Porto,"41.774849, 12.223413",SO2,ARPALAZIO,µg/m³,1.8,2024-03-23T05:30:00+05:30
IT,Frosinone,Alatri,"41.73, 13.338333",CO,ARPALAZIO,µg/m³,900.0,2023-01-09T14:30:00+05:30
IT,Roma,Fiumicino Villa Guglielmi,"41.768189, 12.237048",NOX,ARPALAZIO,µg/m³,39.0,2024-03-23T05:30:00+05:30
IT,Roma,Bufalotta,"41.947649, 12.533682",NO2,ARPALAZIO,µg/m³,65.0,2024-03-23T05:30:00+05:30
IT,Roma,Civ. Porto,"42.097053, 11.788354",NOX,ARPALAZIO,µg/m³,19.0,2024-03-23T05:30:00+05:30
IT,Roma,Preneste,"41.886018, 12.541614",NO,ARPALAZIO,µg/m³,3.0,2024-03-23T05:30:00+05:30
IT,Roma,Cipro,"41.906358000000004, 12.447596000000003",NO,ARPALAZIO,µg/m³,8.0,2024-03-23T05:30:00+05:30
IT,Civitavecchia,Allumiere - v.Aldo Moro,"42.16097200000001, 11.900021999999998",SO2,ARPALAZIO,µg/m³,4.7,2024-03-23T05:30:00+05:30
